"filename", "language", "Markdown", "Shell Script", "Makefile", "Ini", "Python", "CMake", "Log", "JavaScript", "TypeScript", "C++", "JSON", "C", "CMake Cache", "comment", "blank", "total"
"/home/ljj/Nav_USV_ws/build/CTestConfiguration.ini", "Ini", 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -106
"/home/ljj/Nav_USV_ws/build/CTestCustom.cmake", "CMake", 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"/home/ljj/Nav_USV_ws/build/CTestTestfile.cmake", "CMake", 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9
"/home/ljj/Nav_USV_ws/build/Makefile", "Makefile", 0, 0, -501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -279, -219, -999
"/home/ljj/Nav_USV_ws/build/atomic_configure/_setup_util.py", "Python", 0, 0, 0, 0, -208, 0, 0, 0, 0, 0, 0, 0, 0, -53, -44, -305
"/home/ljj/Nav_USV_ws/build/atomic_configure/env.sh", "Shell Script", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -4, -17
"/home/ljj/Nav_USV_ws/build/atomic_configure/local_setup.bash", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/atomic_configure/local_setup.sh", "Shell Script", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -2, -10
"/home/ljj/Nav_USV_ws/build/atomic_configure/local_setup.zsh", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/atomic_configure/setup.bash", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/atomic_configure/setup.sh", "Shell Script", 0, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -10, -97
"/home/ljj/Nav_USV_ws/build/atomic_configure/setup.zsh", "Shell Script", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -3, -9
"/home/ljj/Nav_USV_ws/build/catkin/catkin_generated/version/package.cmake", "CMake", 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24
"/home/ljj/Nav_USV_ws/build/catkin_generated/env_cached.sh", "Shell Script", 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -4, -17
"/home/ljj/Nav_USV_ws/build/catkin_generated/generate_cached_setup.py", "Python", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -4, -6, -31
